#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
57,Morocco,"1,264,785",+6,"16,277 ",,"1,248,351",+18,157,293,"33,392",430,"12,544,087","331,179","37,877,104 ",Africa,"302,3273",0.2,,4
58,Bulgaria,"1,251,669",,"37,676 ",,"1,203,841",,"10,152",31,"183,180","5,514","10,507,166","1,537,706","6,833,014 ",Europe,51811,,,"1,486"
59,Lithuania,"1,235,469",+96,"9,306 ",,"1,208,102","+1,700","18,061",9,"468,245","3,527","10,148,546","3,846,320","2,638,508 ",Europe,22840,36,-0.38,"6,845"
60,Croatia,"1,224,885",+48,"16,849 ",+9,"1,203,856",+635,"4,180",17,"302,486","4,161","5,192,090","1,282,190","4,049,392 ",Europe,32401,12,2,"1,032"
61,Lebanon,"1,213,769",,"10,657 ",,"1,087,587",,"115,525",74,"179,605","1,577","4,795,578","709,617","6,757,977 ",Asia,66341,,,"17,095"
62,Slovenia,"1,157,703",+590,"6,805 ",+2,"1,125,124",+409,"25,774",12,"556,703","3,272","2,735,040","1,315,196","2,079,569 ",Europe,23061,284,1.0,"12,394"
63,Tunisia,"1,145,163",,"29,243 ",,N/A,N/A,N/A,99,"94,706","2,418","4,935,608","408,177","12,091,821 ",Africa,114132,,,490
64,Guatemala,"1,114,951",,"19,714 ",,"1,093,594",,"1,643",5,"59,790","1,057","5,778,323","309,866","18,647,830 ",North America,179463,,,88
65,Cuba,"1,111,045",+14,"8,530 ",,"1,102,363",+12,152,23,"98,224",754,"14,133,929","1,249,535","11,311,351 ",North America,"101,3261",1,,13
66,Bolivia,"1,107,139",,"22,228 ",,"1,045,209",,"39,702",220,"92,071","1,849","2,705,422","224,987","12,024,816 ",South America,115414,,,"3,302"
67,Costa Rica,"1,072,807",,"8,913 ",,"860,711",,"203,183",52,"206,433","1,715","4,659,757","896,645","5,196,878 ",North America,55831,,,"39,097"
68,UAE,"1,023,349",+389,"2,342 ",,"1,002,726",+377,"18,281",,"100,779",231,"188,422,663","18,555,754","10,154,406 ",Asia,"104,3360",38,,"1,800"
